Tue Dec  3 01:32:19 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 565.57.01              Driver Version: 565.57.01      CUDA Version: 12.7     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:D8:00.0 Off |                    0 |
| N/A   29C    P0             26W /  250W |       1MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Tesla V100-PCIE-32GB
Epoch: 80	Train loss: 1.677e-03	Val loss: 1.398e-03
Epoch: 81	Train loss: 1.827e-03	Val loss: 2.617e-03
Epoch: 82	Train loss: 1.590e-03	Val loss: 2.433e-03
Epoch: 83	Train loss: 1.942e-03	Val loss: 2.222e-03
Epoch: 84	Train loss: 1.613e-03	Val loss: 2.609e-03
Epoch: 85	Train loss: 1.745e-03	Val loss: 2.081e-03
Epoch: 86	Train loss: 1.570e-03	Val loss: 1.537e-03
Epoch: 87	Train loss: 1.549e-03	Val loss: 1.468e-03
Epoch: 88	Train loss: 1.709e-03	Val loss: 1.371e-03
Epoch: 89	Train loss: 1.600e-03	Val loss: 1.649e-03
Epoch: 90	Train loss: 1.621e-03	Val loss: 1.611e-03
Epoch: 91	Train loss: 1.484e-03	Val loss: 1.733e-03
Epoch: 92	Train loss: 1.541e-03	Val loss: 2.030e-03
Epoch: 93	Train loss: 1.679e-03	Val loss: 2.264e-03
Epoch: 94	Train loss: 1.807e-03	Val loss: 1.450e-03
Epoch: 95	Train loss: 1.574e-03	Val loss: 1.425e-03
Epoch: 96	Train loss: 1.442e-03	Val loss: 3.205e-03
Epoch: 97	Train loss: 1.646e-03	Val loss: 6.183e-03
Epoch: 98	Train loss: 1.625e-03	Val loss: 1.524e-03
Epoch: 99	Train loss: 1.543e-03	Val loss: 4.802e-03
Epoch: 100	Train loss: 1.442e-03	Val loss: 2.778e-03
Epoch: 101	Train loss: 1.568e-03	Val loss: 1.639e-03
Epoch: 102	Train loss: 1.371e-03	Val loss: 1.439e-03
Epoch: 103	Train loss: 2.015e-03	Val loss: 1.143e-03
Epoch: 104	Train loss: 1.456e-03	Val loss: 2.539e-03
Epoch: 105	Train loss: 1.407e-03	Val loss: 1.565e-03
Epoch: 106	Train loss: 1.407e-03	Val loss: 2.187e-03
Epoch: 107	Train loss: 1.636e-03	Val loss: 2.164e-03
Epoch: 108	Train loss: 1.352e-03	Val loss: 6.982e-03
Epoch: 109	Train loss: 1.703e-03	Val loss: 1.859e-03
Epoch: 110	Train loss: 1.351e-03	Val loss: 2.149e-03
Epoch: 111	Train loss: 1.531e-03	Val loss: 1.614e-03
Epoch: 112	Train loss: 1.327e-03	Val loss: 5.266e-03
Epoch: 113	Train loss: 1.259e-03	Val loss: 2.236e-03
Epoch: 114	Train loss: 1.487e-03	Val loss: 1.110e-03
Epoch: 115	Train loss: 1.379e-03	Val loss: 2.070e-03
Epoch: 116	Train loss: 1.460e-03	Val loss: 2.109e-03
Epoch: 117	Train loss: 1.423e-03	Val loss: 1.572e-03
Epoch: 118	Train loss: 1.602e-03	Val loss: 2.956e-03
Epoch: 119	Train loss: 1.290e-03	Val loss: 2.035e-03
Epoch: 120	Train loss: 1.380e-03	Val loss: 1.361e-03
Epoch: 121	Train loss: 1.461e-03	Val loss: 3.180e-03
Epoch: 122	Train loss: 1.291e-03	Val loss: 1.509e-03
Epoch: 123	Train loss: 1.457e-03	Val loss: 1.947e-03
Epoch: 124	Train loss: 1.166e-03	Val loss: 2.136e-03
Epoch: 125	Train loss: 1.378e-03	Val loss: 3.426e-03
Epoch: 126	Train loss: 1.392e-03	Val loss: 1.472e-03
Epoch: 127	Train loss: 1.212e-03	Val loss: 1.828e-03
Epoch: 128	Train loss: 1.390e-03	Val loss: 1.525e-03
Epoch: 129	Train loss: 1.500e-03	Val loss: 2.163e-03
Epoch: 130	Train loss: 1.200e-03	Val loss: 1.802e-03
Epoch: 131	Train loss: 1.266e-03	Val loss: 3.858e-03
Epoch: 132	Train loss: 1.295e-03	Val loss: 2.003e-03
Epoch: 133	Train loss: 1.349e-03	Val loss: 1.867e-03
Epoch: 134	Train loss: 1.329e-03	Val loss: 2.988e-03
Epoch: 135	Train loss: 1.351e-03	Val loss: 2.077e-03
Epoch: 136	Train loss: 1.321e-03	Val loss: 2.524e-03
Epoch: 137	Train loss: 1.243e-03	Val loss: 2.432e-03
Epoch: 138	Train loss: 1.310e-03	Val loss: 2.021e-03
Epoch: 139	Train loss: 1.200e-03	Val loss: 2.434e-03
Epoch: 140	Train loss: 1.333e-03	Val loss: 4.277e-03
Epoch: 141	Train loss: 1.144e-03	Val loss: 2.045e-03
Epoch: 142	Train loss: 1.248e-03	Val loss: 1.372e-03
Epoch: 143	Train loss: 1.242e-03	Val loss: 1.812e-03
Epoch: 144	Train loss: 1.286e-03	Val loss: 1.345e-03
Early stopping triggered after 144 epochs.
Test MAE: 20.552
