Mon Dec  2 22:37:37 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 565.57.01              Driver Version: 565.57.01      CUDA Version: 12.7     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:3B:00.0 Off |                    0 |
| N/A   39C    P0             43W /  300W |       1MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Tesla V100-SXM2-32GB
Epoch: 80	Train loss: 1.429e-03	Val loss: 1.661e-03
Epoch: 81	Train loss: 1.427e-03	Val loss: 1.710e-03
Epoch: 82	Train loss: 1.425e-03	Val loss: 1.582e-03
Epoch: 83	Train loss: 1.392e-03	Val loss: 1.785e-03
Epoch: 84	Train loss: 1.431e-03	Val loss: 1.655e-03
Epoch: 85	Train loss: 1.302e-03	Val loss: 1.512e-03
Epoch: 86	Train loss: 1.390e-03	Val loss: 1.669e-03
Epoch: 87	Train loss: 1.417e-03	Val loss: 1.262e-03
Epoch: 88	Train loss: 1.344e-03	Val loss: 1.794e-03
Epoch: 89	Train loss: 1.288e-03	Val loss: 2.156e-03
Epoch: 90	Train loss: 1.350e-03	Val loss: 2.187e-03
Epoch: 91	Train loss: 1.356e-03	Val loss: 1.872e-03
Epoch: 92	Train loss: 1.321e-03	Val loss: 1.458e-03
Epoch: 93	Train loss: 1.344e-03	Val loss: 1.412e-03
Epoch: 94	Train loss: 1.511e-03	Val loss: 1.667e-03
Epoch: 95	Train loss: 1.214e-03	Val loss: 1.556e-03
Epoch: 96	Train loss: 1.266e-03	Val loss: 1.302e-03
Epoch: 97	Train loss: 1.202e-03	Val loss: 1.267e-03
Epoch: 98	Train loss: 1.396e-03	Val loss: 1.640e-03
Epoch: 99	Train loss: 1.183e-03	Val loss: 1.570e-03
Epoch: 100	Train loss: 1.315e-03	Val loss: 2.492e-03
Epoch: 101	Train loss: 1.329e-03	Val loss: 1.248e-03
Epoch: 102	Train loss: 1.295e-03	Val loss: 1.525e-03
Epoch: 103	Train loss: 1.199e-03	Val loss: 1.959e-03
Epoch: 104	Train loss: 1.265e-03	Val loss: 1.302e-03
Epoch: 105	Train loss: 1.217e-03	Val loss: 2.102e-03
Epoch: 106	Train loss: 1.211e-03	Val loss: 1.934e-03
Epoch: 107	Train loss: 1.283e-03	Val loss: 1.492e-03
Epoch: 108	Train loss: 1.158e-03	Val loss: 2.877e-03
Epoch: 109	Train loss: 1.407e-03	Val loss: 4.128e-03
Epoch: 110	Train loss: 1.051e-03	Val loss: 2.931e-03
Epoch: 111	Train loss: 1.256e-03	Val loss: 1.434e-03
Epoch: 112	Train loss: 1.256e-03	Val loss: 4.022e-03
Epoch: 113	Train loss: 1.160e-03	Val loss: 1.733e-03
Epoch: 114	Train loss: 1.170e-03	Val loss: 1.108e-03
Epoch: 115	Train loss: 1.094e-03	Val loss: 1.309e-03
Epoch: 116	Train loss: 1.260e-03	Val loss: 1.397e-03
Epoch: 117	Train loss: 1.209e-03	Val loss: 1.419e-03
Epoch: 118	Train loss: 1.146e-03	Val loss: 1.245e-03
Epoch: 119	Train loss: 1.232e-03	Val loss: 1.685e-03
Epoch: 120	Train loss: 1.116e-03	Val loss: 1.225e-03
Epoch: 121	Train loss: 1.143e-03	Val loss: 1.206e-03
Epoch: 122	Train loss: 1.219e-03	Val loss: 1.810e-03
Epoch: 123	Train loss: 1.106e-03	Val loss: 1.663e-03
Epoch: 124	Train loss: 1.173e-03	Val loss: 1.591e-03
Epoch: 125	Train loss: 1.119e-03	Val loss: 1.566e-03
Epoch: 126	Train loss: 1.157e-03	Val loss: 1.510e-03
Epoch: 127	Train loss: 1.081e-03	Val loss: 1.283e-03
Epoch: 128	Train loss: 1.129e-03	Val loss: 1.303e-03
Epoch: 129	Train loss: 1.094e-03	Val loss: 1.476e-03
Epoch: 130	Train loss: 1.120e-03	Val loss: 1.681e-03
Epoch: 131	Train loss: 1.097e-03	Val loss: 3.501e-03
Epoch: 132	Train loss: 1.136e-03	Val loss: 3.217e-03
Epoch: 133	Train loss: 1.146e-03	Val loss: 1.210e-03
Epoch: 134	Train loss: 1.090e-03	Val loss: 1.460e-03
Epoch: 135	Train loss: 1.053e-03	Val loss: 1.301e-03
Epoch: 136	Train loss: 1.115e-03	Val loss: 3.479e-03
Epoch: 137	Train loss: 9.892e-04	Val loss: 1.707e-03
Epoch: 138	Train loss: 1.254e-03	Val loss: 1.347e-03
Epoch: 139	Train loss: 9.468e-04	Val loss: 1.814e-03
Epoch: 140	Train loss: 1.036e-03	Val loss: 1.267e-03
Epoch: 141	Train loss: 9.557e-04	Val loss: 1.598e-03
Epoch: 142	Train loss: 1.085e-03	Val loss: 1.914e-03
Epoch: 143	Train loss: 1.161e-03	Val loss: 2.187e-03
Epoch: 144	Train loss: 1.042e-03	Val loss: 2.298e-03
Early stopping triggered after 144 epochs.
Test MAE: 21.372
